sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.005850,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.050013,0.003122,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.100013,0.002885,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.150161,0.002873,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.200415,0.004028,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.250426,0.003476,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.300143,0.002825,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.350031,0.002890,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.400154,0.002828,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.450192,0.002786,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.500016,0.002804,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.550033,0.002777,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.600144,0.002763,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.650175,0.002762,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.700034,0.002816,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.750142,0.002748,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800049,0.002773,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850264,0.002784,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.900044,0.002773,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.950258,0.002752,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.000194,0.002755,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.050213,0.002734,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.100043,0.002744,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.150164,0.002774,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200198,0.002735,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.250080,0.002741,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.300106,0.002879,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.350309,0.002763,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.400185,0.002743,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.450364,0.002771,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.500066,0.002768,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.550314,0.002746,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.600061,0.002776,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.650091,0.002777,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.700035,0.002749,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.750090,0.002798,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.800207,0.002768,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.850221,0.002770,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.900208,0.002745,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.950059,0.002771,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.000195,0.002748,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.050235,0.002803,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.100061,0.002867,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.150218,0.002871,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.200252,0.002786,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.250381,0.002810,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.300245,0.002819,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.350091,0.002823,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.400218,0.002792,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.450113,0.002804,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.500209,0.002825,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.550212,0.002804,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.600073,0.002808,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.650248,0.002826,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.700209,0.002824,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.750251,0.002804,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.800122,0.002832,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.850140,0.002823,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.900129,0.002805,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.950172,0.002835,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.000117,0.002850,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.050160,0.002813,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.100120,0.002837,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.150412,0.002847,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.200252,0.003075,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.250153,0.003571,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.300271,0.003190,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.350151,0.002855,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.400279,0.002954,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.450119,0.002854,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.500370,0.002820,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.550302,0.003126,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.600106,0.002964,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.650442,0.002846,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.700200,0.002821,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.750158,0.002841,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.800287,0.002852,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.850123,0.002823,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.900275,0.002822,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.950269,0.002845,0,0.000000,0.000000,0.000000,0.000000,0.000000 
