sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.005761,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.049874,0.003155,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.099988,0.002994,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.149867,0.002961,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.200012,0.002921,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.249876,0.002903,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.300034,0.002923,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.349857,0.002944,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.400002,0.002834,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.449891,0.002914,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.500007,0.002887,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.550387,0.002839,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.600041,0.002873,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.649876,0.002880,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.700068,0.002857,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.750041,0.002843,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800054,0.002881,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850047,0.002847,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.899924,0.002832,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.950028,0.002871,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.999909,0.002865,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.050046,0.002851,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.099917,0.002840,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.150077,0.002860,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200459,0.002873,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.250088,0.002826,0,0.000000,0.000000,0.000000,0.000000,0.000000 
