sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.005797,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.050201,0.003105,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.100153,0.002976,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.150129,0.002945,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.200161,0.002923,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.250031,0.002903,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.300182,0.002918,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.350021,0.002951,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.400165,0.002859,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.450077,0.002835,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.500143,0.002838,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.549985,0.002832,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.600163,0.002814,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.650086,0.002814,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.700148,0.002820,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.750023,0.002805,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800185,0.002812,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850221,0.002837,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.900228,0.002834,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.950178,0.002808,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.000051,0.002818,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.050275,0.002839,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.100058,0.002806,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.150195,0.002812,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200068,0.002813,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.250289,0.002815,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.300045,0.002791,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.350199,0.002807,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.400065,0.002802,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.450255,0.002806,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.500050,0.002819,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.550181,0.002835,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.600200,0.002782,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.650254,0.002823,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.700219,0.002819,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.750096,0.002796,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.800256,0.002803,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.850129,0.002820,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.900220,0.002869,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.950110,0.002809,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.000221,0.002798,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.050158,0.002796,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.100248,0.002804,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.150113,0.002785,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.200236,0.002794,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.250177,0.002810,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.300217,0.002759,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.350268,0.002774,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.400282,0.002764,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.450299,0.002788,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.500118,0.002755,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.550301,0.002789,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.600130,0.002772,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.650330,0.002744,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.700159,0.002777,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.750266,0.002762,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.800151,0.002755,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.850336,0.002770,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.900162,0.002792,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.950290,0.002764,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.000183,0.002778,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.050350,0.002764,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.100296,0.002770,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.150277,0.002767,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.200294,0.002790,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.250210,0.002780,0,0.000000,0.000000,0.000000,0.000000,0.000000 
